iata,icao,name,lat,lon,alt,continent,iso_country
FNB,EDBN,Neubrandenburg Airport,53.6022,13.306,228,EU,DE
FNC,LPMA,Madeira Airport,32.697899,-16.7745,192,EU,PT
FNI,LFTW,Nîmes-Arles-Camargue Airport,43.75740051,4.416349888,309,EU,FR
FNU,LIER,Oristano-Fenosu Airport,39.895308,8.642661,36,EU,IT
FOA,GB-FOA,Foula Airfield,60.121725,-2.053202,150,EU,GB
FOG,LIBF,"Foggia ""Gino Lisa"" Airport",41.432899,15.535,265,EU,IT
FRA,EDDF,Frankfurt am Main Airport,50.033333,8.570556,364,EU,DE
FRJ,LFTU,Fréjus Airport,43.4175,6.7357,33,EU,FR
FRL,LIPK,Forlì Airport,44.194801,12.0701,97,EU,IT
FRO,ENFL,Florø Airport,61.58359909,5.024720192,37,EU,NO
FRZ,ETHF,Fritzlar Army Airfield,51.1146,9.286,1345,EU,DE
FSC,LFKF,Figari Sud-Corse Airport,41.500599,9.09778,85,EU,FR
FSS,EGQK,RAF Kinloss,57.6493988,-3.560640097,22,EU,GB
FUE,GCFV,Fuerteventura Airport,28.45269966,-13.86380005,85,EU,ES
FZO,EGTG,Bristol Filton Airport,51.51940155,-2.590830088,226,EU,GB
GAT,LFNA,Gap - Tallard Airfield,44.455002,6.03778,1986,EU,FR
GBA,EGBP,Cotswold Airport,51.668095,-2.05694,433,EU,GB
GCI,EGJB,Guernsey Airport,49.43500137,-2.601969957,336,EU,GG
GDG,UHBI,Magdagachi Airport,53.473301,125.794998,1211,EU,RU
GDN,EPGD,Gdańsk Lech Wałęsa Airport,54.37760162,18.46619987,489,EU,PL
GDZ,URKG,Gelendzhik Airport,44.58209263,38.01248074,98,EU,RU
GEV,ESNG,Gällivare Airport,67.13240051,20.81459999,1027,EU,SE
GFR,LFRF,Granville Airport,48.8830986,-1.564170003,45,EU,FR
GHF,EDQG,Giebelstadt Airport,49.64805603,9.966388702,981,EU,DE
GIB,LXGB,Gibraltar Airport,36.15119934,-5.34965992,15,EU,GI
GJR,BIGJ,Gjögur Airport,65.99530029,-21.32690048,83,EU,IS
GKE,ETNG,Geilenkirchen Air Base,50.9608,6.04242,296,EU,DE
GLA,EGPF,Glasgow International Airport,55.871899,-4.43306,26,EU,GB
GLL,ENKL,Gol Airport,60.791066,9.048672,2770,EU,NO
GLO,EGBJ,Gloucestershire Airport,51.89419937,-2.167220116,101,EU,GB
GLZ,EHGR,Gilze Rijen Air Base,51.56740189,4.931829929,49,EU,NL
GME,UMGG,Gomel Airport,52.52700043,31.01670074,472,EU,BY
GML,UKKM,Gostomel Airport,50.60350037,30.19190025,517,EU,UA
GMZ,GCGM,La Gomera Airport,28.02960014,-17.21459961,716,EU,ES
GNA,UMMG,Hrodna Airport,53.60200119,24.05380058,443,EU,BY
GNB,LFLS,Grenoble-Isère Airport,45.3629,5.32937,1302,EU,FR
GNE,GNE,Sint-Denijs-Westrem Airport,51.025956,3.688231,30,EU,BE
GOA,LIMJ,Genoa Cristoforo Colombo Airport,44.4133,8.8375,13,EU,IT
GOJ,UWGG,Nizhny Novgorod Strigino International Airport,56.23009872,43.7840004,256,EU,RU
GOT,ESGG,Gothenburg-Landvetter Airport,57.66279984,12.27980042,506,EU,SE
GOZ,LBGO,Gorna Oryahovitsa Airport,43.15140152,25.71290016,285,EU,BG
GPA,LGRX,Araxos Airport,38.1511,21.4256,46,EU,GR
GRO,LEGE,Girona Airport,41.90100098,2.760550022,468,EU,ES
GRQ,EHGG,Eelde Airport,53.11970139,6.579440117,17,EU,NL
GRS,LIRS,Grosseto Air Base,42.759701,11.0719,17,EU,IT
GRV,RU-0035,Grozny North Airport,43.388302,45.698601,548,EU,RU
